Sample ID,SRA Accession,GEO Accession,Biological Condition,Replicate,Tissue Type,Developmental Stage,Species,Sequencing Strategy,Sequencing Layout,Sequencing Platform,Library Source,Library Selection,Library Preparation,BioProject,SRA Study,Reference Genome,Publication
Sample 1 (Control),SRR5494752,GSM2595563,Unstressed (Mitotic drought experiment),1,Leaf,4-week-old Col-0,Arabidopsis thaliana,Whole-Genome Bisulfite Sequencing (Bisulfite-Seq),Single-end,Illumina HiSeq 2500,Genomic DNA,Random,Genomic DNA extracted using the Qiagen DNeasy Plant Mini Kit; bisulfite conversion using the Zymo DNA-Gold Bisulfite Conversion Kit; library preparation using the Accel-NGS Methyl-Seq DNA Library Kit (Swift Biosciences),PRJNA368978,SRP097911,TAIR10,Kawakatsu et al. (2017)
Sample 2 (Treatment),SRR5494755,GSM2595566,Nine days water deprivation (Mitotic drought experiment),1,Leaf,4-week-old Col-0,Arabidopsis thaliana,Whole-Genome Bisulfite Sequencing (Bisulfite-Seq),Single-end,Illumina HiSeq 2500,Genomic DNA,Random,Genomic DNA extracted using the Qiagen DNeasy Plant Mini Kit; bisulfite conversion using the Zymo DNA-Gold Bisulfite Conversion Kit; library preparation using the Accel-NGS Methyl-Seq DNA Library Kit (Swift Biosciences),PRJNA368978,SRP097911,TAIR10,Kawakatsu et al. (2017)
